Total,Lat,Lon
49,25.0498566,121.6161761
42,25.0361854,121.616528
5,25.034667,121.6131215
6,25.0703598,121.5117201
2,25.0672123,121.5106258
3,25.0671651,121.5097194
3,25.0706182,121.5112187
2,25.0713468,121.5117113
29,25.0584964,121.5095988
7,25.0584964,121.5095988
214,25.0578843,121.6053375
34,25.0573513,121.5977787
21,25.0575383,121.598556
46,25.0572966,121.5960336
3,25.070517,121.5149472
9,25.0713315,121.5122984
75,25.0817816,121.5129575
4,25.0513443,121.5139066
12,25.0712695,121.5138885
53,25.0712695,121.5138885
9,25.030933,121.514311
3,25.0303976,121.5146731
2,25.037152,121.5118121
24,25.0363076,121.5117322
8,25.0334249,121.5121207
10,25.0443534,121.5054091
14,25.0448849,121.5046581
9,25.0210188,121.5253311
11,25.0210188,121.5253311
5,25.0718874,121.5185553
150,25.0409967,121.5222218
18,25.1155709,121.5196953
2,25.1178238,121.5222294
17,25.0384064,121.500931
40,25.0401626,121.5103009
6,25.0400545,121.5280365
6,25.0399607,121.5284333
1,25.0401639,121.5275829
5,25.0228857,121.5318553
2,25.0243217,121.5303687
2,25.023483,121.5268229
34,25.071963,121.5159891
13,25.0547164,121.5529106
12,25.0557497,121.5672014
3,25.0555547,121.5678385
4,25.0560499,121.5677929
9,25.0559408,121.5663358
14,25.0548405,121.5664057
12,25.055003,121.5683162
77,25.0541269,121.5624083
17,25.0541269,121.5624083
32,25.0541269,121.5624083
40,25.0541269,121.5624083
41,25.0251858,121.5072953
12,25.0899528,121.5216333
16,25.0936086,121.5188382
5,25.0956406,121.5179562
78,25.0910494,121.5217598
14,25.0910494,121.5217598
16,25.0790219,121.563051
23,25.0784403,121.5627718
8,25.0770282,121.5645114
2,25.0774121,121.5624427
10,25.0788378,121.5661705
6,25.0807494,121.5668812
10,25.0479657,121.5710044
4,25.0344718,121.5590005
17,25.0227646,121.5519243
19,25.0209172,121.5499103
82,25.0449165,121.5655784
15,25.0432301,121.5646043
27,25.0126475,121.5449795
3,25.0171627,121.5659919
57,25.0783462,121.5962009
2,25.0788596,121.5967633
2,25.0790018,121.5962623
1,25.0729954,121.6125737
2,25.0709402,121.6126153
7,25.0733356,121.6120379
17,25.0667376,121.6126369
2,25.0684942,121.6099675
2,25.0762587,121.6133621
6,25.072387,121.6103725
6,25.0739267,121.6117509
11,25.073305,121.6201869
3,25.0726581,121.6185187
3,25.0710904,121.6178687
12,25.0748736,121.6206218
10,25.069271,121.6200108
2,25.0710742,121.6171486
21,25.0697266,121.6200649
4,25.0607139,121.5122838
61,25.0607139,121.5122838
97,25.0403354,121.5239312
24,25.0403354,121.5239312
81,25.0291244,121.5626207
2,25.0298589,121.5626988
27,25.0295402,121.5642114
2,25.0283765,121.5647209
3,25.0287021,121.5656157
7,25.0285358,121.5663338
5,25.0285085,121.5678128
15,25.0302498,121.4991505
22,25.0240171,121.4719949
40,25.0240171,121.4719949
14,25.0292749,121.5539552
6,25.0267425,121.5527615
10,25.0826945,121.538885
3,25.0878604,121.5165289
7,25.0802447,121.5237972
32,25.0789185,121.5231749
11,25.081897,121.5186618
16,25.0401749,121.5113096
67,25.0401749,121.5113096
28,25.0643475,121.5725088
15,25.0806774,121.5635324
53,25.0779865,121.5665361
102,25.0779865,121.5665361
15,24.9895277,121.5534257
11,25.0182918,121.5009402
25,25.0531009,121.6171599
54,25.0543908,121.6189204
24,25.0536829,121.6179828
36,25.0202282,121.5566497
45,25.0608481,121.5526274
16,25.0597261,121.5509598
4,25.0608712,121.5580693
53,25.0612965,121.5591397
21,25.0610528,121.5573746
9,25.061244,121.5613441
172,25.060629,121.5591084
97,25.060629,121.5591084
6,25.0589617,121.545912
17,25.0617865,121.5430345
11,25.0633755,121.5431122
14,25.0651364,121.5435068
9,25.0570525,121.5442302
6,25.0570525,121.5442302
5,25.0367726,121.5447529
9,25.0360837,121.5428206
4,25.0276868,121.5443249
8,25.0265017,121.5427428
12,25.0306729,121.5418518
9,25.0431195,121.542455
11,25.0426224,121.5449988
11,25.0390251,121.5437945
2,25.0402941,121.5438295
6,25.0272712,121.5435514
22,25.0284134,121.5423464
36,25.0283341,121.5448115
54,25.0569432,121.6100726
21,25.0291994,121.5069646
5,25.0291994,121.5069646
