Name,Total,Usage,Lat,Lon
台北市民生東路三段,82,1,25.0577102,121.54326600000002
台北市民生東路三段107巷,8,0,25.0584972,121.54485079999995
台北市民生東路五段,44,1,25.058935,121.56238370000005
台北市民生東路五段27巷,31,0.74,25.0594947,121.55672119999997
台北市民生東路五段27巷9弄,26,0.69,25.0599479,121.55584299999998
台北市民生東路五段36巷,19,1,25.0573909,121.55709219999994
台北市民生東路五段69巷,19,0.74,25.0595564,121.55818650000003
台北市民生東路四段131巷,27,1,25.059022,121.55376790000003
台北市民生東路四段80巷,3,0,25.0572197,121.55302570000003
台北市民生東路四段97巷,4,1,25.0589209,121.5520378
台北市民和街,3,0.67,25.025483,121.49776610000004
台北市民族西路,88,0.58,25.0685856,121.51589280000007
台北市民族西路225巷,10,0.8,25.0694883,121.51226470000006
台北市民族西路252巷,3,1,25.0679301,121.51224860000002
台北市民族西路303巷,9,0.78,25.0701604,121.51049450000005
台北市民族西路31巷,5,0,25.069102,121.51962819999994
台北市民族西路32巷,24,0.83,25.0672867,121.51936790000002
台北市民族西路76巷12弄,2,0.5,25.0676965,121.51713139999993
台北市民族西路76巷2弄,2,1,25.0680596,121.5173019
台北市民族東路,63,0.19,25.0681389,121.53631289999998
台北市民族東路410巷2弄,1,1,25.0668501,121.5374028
台北市民族東路A,37,0.11,25.0643982,121.54646890000004
台北市民族東路B,21,0,25.0681389,121.53631289999998
台北市民族東路C,24,0.58,25.0681389,121.53631289999998
台北市民族東路D,21,0.05,25.0681389,121.53631289999998
台北市民善街,48,0.73,25.0613095,121.57525750000002
台北市民樂街A,7,0,25.0572297,121.51061240000001
台北市民樂街B,27,0.93,25.0572297,121.51061240000001
台北市民權西路,2,1,25.0630601,121.51582780000001
台北市民權西路102巷,24,0.96,25.0615791,121.51769560000002
台北市民權西路144巷19弄,7,1,25.0620233,121.51625349999995
台北市民權東路3段103巷,2,1,25.0632349,121.54514659999995
台北市民權東路3段103巷5弄,17,0.82,25.0628173,121.54647790000001
台北市民權東路3段106巷,18,0,25.0604568,121.54489149999995
台北市民權東路3段106巷15弄,7,0,25.0599588,121.54572239999993
台北市民權東路3段106巷21弄,2,0,25.0594676,121.54570790000002
台北市民權東路3段106巷3弄,36,0,25.0614356,121.54744329999994
台北市民權東路3段160巷,4,0,25.0607256,121.54767019999997
台北市民權東路3段184巷,4,0,25.0610928,121.54963029999999
台北市民權東路3段191巷,10,0.8,25.063704,121.54677140000001
台北市民權東路3段191巷31弄,7,1,25.0633276,121.54724740000006
台北市民權東路3段60巷,1,1,25.0612393,121.54240230000005
台北市民權東路6段115巷,8,1,25.0695375,121.59183110000004
台北市民權東路6段123巷,3,1,25.0696933,121.59286229999998
台北市民權東路6段123巷20弄,2,1,25.0697053,121.59240890000001
台北市民權東路6段123巷34弄,6,1,25.0703962,121.59226430000001
台北市民權東路6段136巷,15,1,25.0676735,121.58777120000002
