Name,Usage,Lat,Lon
台北市民權東路3段103巷5弄,0.82,25.0628173,121.5464779
台北市民權東路3段106巷,0,25.0604568,121.5448915
台北市民權東路3段106巷15弄,0,25.0599588,121.5457224
台北市民權東路3段106巷21弄,0,25.0594676,121.5457079
台北市民權東路3段106巷3弄,0,25.0614356,121.5474433
台北市民權東路3段160巷,0,25.0607256,121.5476702
台北市民權東路3段184巷,0,25.0610928,121.5496303
台北市民權東路3段191巷,0.8,25.063704,121.5467714
台北市民權東路3段191巷31弄,1,25.0633276,121.5472474
台北市民權東路3段60巷,1,25.0612393,121.5424023
台北市民權東路6段115巷,1,25.0695375,121.5918311
台北市民權東路6段123巷,1,25.0696933,121.5928623
台北市民權東路6段123巷20弄,1,25.0697053,121.5924089
台北市民權東路6段123巷34弄,1,25.0703962,121.5922643
台北市民權東路6段136巷,1,25.0676735,121.5877712
台北市民權東路6段163巷,0.21,25.0692128,121.5960474
台北市民權東路6段163巷19弄,0.5,25.0688317,121.5964964
台北市民權東路6段175巷,0.15,25.0687987,121.5970344
台北市民權東路6段180巷,0.15,25.0672081,121.5926904
台北市民權東路6段180巷21巷,0.85,25.0676421,121.5926872
台北市民權東路6段180巷41弄,0.73,25.0672326,121.5934641
台北市民權東路6段180巷42弄,0.27,25.0674657,121.5921075
台北市民權東路6段180巷61弄,0.62,25.0666435,121.5934745
台北市民權東路6段180巷70弄,0.8,25.066729,121.5916754
台北市民權東路6段180巷77弄,0.2,25.0660048,121.5936293
台北市民權東路6段190巷,0.39,25.066658,121.594333
台北市民權東路6段190巷35弄,0.18,25.0667273,121.5950436
台北市民權東路6段190巷65弄,0.06,25.0667273,121.5950436
台北市民權東路6段191巷,0.11,25.0700113,121.5992019
台北市民權東路6段191巷20弄,0.33,25.0683968,121.5974678
台北市民權東路6段191巷38弄,0.38,25.0689101,121.5978393
台北市民權東路6段191巷62弄,0.06,25.0695774,121.5978448
台北市民權東路6段206巷,0.03,25.0662102,121.5956718
台北市民權東路6段210巷21弄,0.25,25.0681067,121.5936376
台北市民權東路6段210巷47弄,0.24,25.0701844,121.5874557
